pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y,recorded
20201MP41,18.0,6.0,3,,vz32536,MP41,2020,,,,448487.72,207218.76,True
20201MP42,25.0,8.0,3,ts47968,te80990,MP42,2020,True,MP92,5.0,448447.72,207210.76,True
20201MP47,40.0,5.0,0,,,MP47,2020,,,,448510.72,207193.76,False
20201MP48,18.0,8.0,6,vz32539,vz33789,MP48,2020,True,MP38,6.0,448556.72,207188.76,True
20201MP50,18.0,8.0,0,,vz30901,MP50,2020,,,,448460.2,207118.29,True
20201MP52,19.0,5.0,0,,vs84272,MP52,2020,,,,448469.72,207074.76,True
20201MP57,13.0,8.0,8,vs84233,vs84264,MP57,2020,True,MP69,5.0,448512.72,207064.76,True
20201MP58,13.0,7.0,6,vs84234,vz33794,MP58,2020,True,MP69,5.0,448488.72,207049.76,True
20201MP6,23.0,8.0,5,vz32685,ty70158,MP6,2020,True,B27,6.0,448030.72,207795.76,True
20201MP61,13.0,7.0,6,ty70013,vs84232,MP61,2020,False,,6.0,448589.72,207010.76,True
20201MP65,15.0,6.0,6,ty70009,ty70010,MP65,2020,False,,6.0,448602.72,206929.76,True
20201MP66,23.0,7.0,0,,,MP66,2020,,,,448621.72,206914.76,True
20201MP67,13.0,9.0,9,ty70023,vs84212,MP67,2020,False,,6.0,448468.72,207029.76,True
20201MP68,12.0,9.0,9,vs84238,vs84227,MP68,2020,True,MP69,5.0,448478.72,206992.76,True
20201MP69,9.0,7.0,7,vz33790,vz33791,MP69,2020,False,,6.0,448519.72,206960.76,True
20201MP70,19.0,6.0,0,,,MP70,2020,,,,448559.72,206926.76,True
20201MP71,7.0,8.0,8,,vz33795,MP71,2020,,,,448536.72,206873.76,True
20201MP73,10.0,9.0,9,,vs84206,MP73,2020,,,,448396.98,206917.97,True
20201MP75,13.0,8.0,8,ty70012,ty70021,MP75,2020,False,,6.0,448359.72,206990.76,True
20201MP76,12.0,9.0,7,,ty70011,MP76,2020,,,,448390.72,207004.76,True
20201MP77,15.0,10.0,10,vz30902,vz30598,MP77,2020,False,,6.0,448383.72,207042.76,True
20201MP80,17.0,8.0,2,,ty70078,MP80,2020,,,,448343.72,207270.76,True
20201MP84,16.0,10.0,8,ty70033,vs84123,MP84,2020,False,,6.0,448290.72,207471.76,False
20201MP87,19.0,9.0,9,te80906,ty70095,MP87,2020,True,B225,5.0,448221.72,207584.76,True
20201MP89,21.0,10.0,0,,,MP89,2020,,,,448096.72,207648.76,True
20201MP93,19.0,8.0,7,ty70087,vs84062,MP93,2020,False,,5.0,448018.72,207967.76,True
20201MP96,25.0,9.0,7,vz30994,ts47904,MP96,2020,True,B11,5.0,447925.72,207923.76,True
20201MP98,18.0,7.0,0,,,MP98,2020,,,,447817.72,207173.76,True
20201O105,20.0,7.0,6,vz31376,tw41898,O105,2020,False,,5.0,445697.33,207743.71,True
20201O107,22.0,10.0,10,vz32719,vz33113,O107,2020,True,SW109A,5.0,445709.33,207638.71,True
20201O109,20.0,4.0,2,,tw41858,O109,2020,,,,445869.33,207566.71,True
20201O112,13.0,11.0,11,tw41856,vz33938,O112,2020,False,,6.0,445957.33,207531.71,True
20201O113,34.0,6.0,0,,,O113,2020,,,,445853.33,207841.75,False
20201O115,17.0,9.0,8,ty70701,tl38938,O115,2020,False,,6.0,445904.33,207703.71,True
20201O21,14.0,9.0,9,vz33556,te80789,O21,2020,False,,6.0,445270.72,207991.76,True
20201O27,18.0,10.0,10,tw41625,ty70703,O27,2020,False,,5.0,445124.72,207881.76,True
20201O27A,21.0,10.0,0,,tw41870,O27A,2020,,,,445122.72,207833.76,True
20201O28,19.0,8.0,0,,,O28,2020,,,,445160.95,207823.54,True
20201O3,19.0,7.0,2,tl38436,vz33534,O3,2020,True,EX7,5.0,445269.72,208067.76,True
20201O32,20.0,8.0,8,vz30799,ty70715,O32,2020,False,,6.0,445251.72,207852.76,True
20201O36,20.0,9.0,5,tv44361,vz33559,O36,2020,True,O38A,6.0,445310.72,207766.76,True
20201O38A,19.0,11.0,9,ty70704,ty70705,O38A,2020,False,,5.0,445296.72,207656.76,True
20201O40,24.0,8.0,8,ty70509,ts46391,O40,2020,False,,5.0,445462.72,207850.76,True
20201O48,25.0,7.0,0,,,O48,2020,,,,445470.72,207553.76,True
20201O50,17.0,12.0,11,vz32987,ty70759,O50,2020,True,O52,,445431.72,207610.76,True
20201O52,12.0,8.0,8,vj57893,tv44478,O52,2020,False,,6.0,445377.72,207665.76,True
20201O53,21.0,8.0,7,tr44766,tw41866,O53,2020,False,,6.0,445348.72,207698.76,True
20201O56,15.0,9.0,8,,ts44659,O56,2020,,,,445416.72,208003.76,True
20201O58,16.0,10.0,0,,,O58,2020,,,,445427.72,207495.76,True
20201O6,19.0,7.0,0,,,O6,2020,,,,445173.72,208103.76,True
20201O65,37.0,6.0,0,,,O65,2020,,,,445533.33,207430.71,True
20201O66,14.0,9.0,9,,vj57892,O66,2020,,,,445582.33,207406.71,True
20201O70,17.0,7.0,7,vz31363,ty70702,O70,2020,True,O13A,5.0,445581.33,207542.71,True
20201O75,23.0,7.0,0,,tx42668,O75,2020,,,,445771.33,207166.71,True
20201O76,22.0,6.0,6,tw41861,tw77014,O76,2020,False,,5.0,445791.33,207210.71,True
20201O77,20.0,9.0,9,tp27192,tw77015,O77,2020,True,O78A,5.0,445712.33,207287.71,False
20201O8,21.0,9.0,7,vz33619,ty69074,O8,2020,True,O18,5.0,445208.72,208155.8,True
20201O80,19.0,8.0,7,,tw41868,O80,2020,,,,445811.33,207436.71,True
20201O81,14.0,17.0,0,,,O81,2020,,,,445780.33,207502.71,True
20201O82,37.0,9.0,0,,tr43254,O82,2020,,,,445805.33,207580.71,True
20201O86,23.0,8.0,7,tv44375,tw41860,O86,2020,True,SW122,6.0,445584.33,207655.71,True
20201O93,18.0,10.0,6,tw41897,tw77013,O93,2020,False,,5.0,445912.33,207645.71,True
20201O95,17.0,8.0,7,vz32585,tv44468,O95,2020,True,MP75,6.0,445955.33,207585.71,True
20201P14,17.0,9.0,8,vs84049,te80810,P14,2020,True,B63,5.0,447153.33,207568.71,True
20201P17,19.0,9.0,4,tw41802,tw77017,P17,2020,False,,6.0,447006.33,207611.71,True
20201P19,33.0,2.0,0,,,P19,2020,,,,446914.33,207609.71,True
20201P2,18.0,7.0,7,,vz30892,P2,2020,,,,447207.33,207495.71,True
20201P22,30.0,6.0,0,,tw77187,P22,2020,,,,446823.33,207539.71,True
20201P5,18.0,7.0,5,ts47653,tv44297,P5,2020,True,SW44,,447227.33,207656.71,False
20201P6,20.0,7.0,0,,,P6,2020,,,,447223.33,207763.71,True
20201P7,18.0,9.0,0,,vs84191,P7,2020,,,,447254.33,207742.71,True
20201SW1,22.0,7.0,6,ty69095,ty69085,SW1,2020,False,,5.0,446202.33,207910.71,True
20201SW103,21.0,9.0,0,ty68556,vz32753,SW103,2020,False,,5.0,446179.33,207147.71,True
20201SW105,25.0,7.0,0,,,SW105,2020,,,,446199.33,207046.71,True
20201SW112,16.0,8.0,0,,ty68507,SW112,2020,,,,445938.33,207159.71,True
20201SW116,14.0,10.0,0,,vz32708,SW116,2020,,,,446054.33,207257.71,True
20201SW119,13.0,8.0,0,,tw41854,SW119,2020,,,,446065.33,207348.71,True
20201SW127,26.0,7.0,0,,te80999,SW127,2020,,,,446100.33,207536.71,True
20201SW128,20.0,8.0,8,tw41650,tw77016,SW128,2020,False,,5.0,446154.33,207555.71,True
20201SW131,17.0,8.0,8,tw77001,vs84251,SW131,2020,False,,6.0,446202.33,207594.71,True
20201SW133,21.0,8.0,5,,vz32782,SW133,2020,,,,446261.33,207581.71,True
20201SW18,24.0,7.0,0,ts43477,,SW18,2020,False,,6.0,446358.33,207529.71,True
20201SW2,21.0,9.0,9,,tw77052,SW2,2020,,,,446216.33,207871.71,True
20201SW20,26.0,6.0,0,,,SW20,2020,,,,446401.33,207577.71,True
20201SW21,21.0,7.0,0,,,SW21,2020,,,,446420.33,207585.71,True
20201SW22,37.0,6.0,0,,,SW22,2020,,,,446461.33,207594.71,False
20201SW28,17.0,8.0,8,ts45460,tp27392,SW28,2020,True,SW1,6.0,446452.33,207484.71,True
20201SW3,16.0,9.0,1,,tw77002,SW3,2020,,,,446241.33,207876.75,True
20201SW33,21.0,9.0,0,tr43216,ty68607,SW33,2020,True,O29,6.0,446328.33,207280.71,True
20201SW35,19.0,8.0,8,vz29148,tj26880,SW35,2020,True,C163,5.0,446381.33,207366.71,True
20201SW39,26.0,6.0,2,,vz33751,SW39,2020,,,,446571.33,207393.71,True
20201SW46,27.0,7.0,6,vz30605,ta15788,SW46,2020,True,C133,6.0,446668.33,207455.71,True
20201SW49A,22.0,11.0,0,,,SW49A,2020,,,,446674.33,207369.71,True
20201SW5,17.0,9.0,9,tj26850,vz30447,SW5,2020,True,C1,6.0,446320.98,207891.12,True
20201SW59,16.0,9.0,9,vz32978,vs84050,SW59,2020,True,B145,6.0,446847.33,207337.71,True
20201SW70,17.0,7.0,5,vz31906,vs84179,SW70,2020,True,EX62C,5.0,447032.33,207397.71,True
20201SW73,20.0,9.0,8,vz31181,tr42800,SW73,2020,True,P7,5.0,447094.33,207298.71,True
20201SW76,16.0,8.0,8,tr43321,tr43320,SW76,2020,False,,5.0,447158.33,207352.75,True
20201SW82,20.0,8.0,8,,tw77050,SW82,2020,,,,447327.33,207376.71,True
20201SW86,18.0,9.0,7,vz30538,tr43323,SW86,2020,False,,6.0,447401.33,207319.71,True
20201SW9,22.0,7.0,7,tl38496,ty68555,SW9,2020,True,EX5A,5.0,446338.33,207737.71,True
20201W100,15.0,9.0,9,tl38410,vz33930,W100,2020,True,EX38,5.0,445358.33,209039.71,True
20201W103,25.0,6.0,1,,tw41888,W103,2020,,,,445304.33,209032.71,True
20201W103A,21.0,8.0,0,,,W103A,2020,,,,445294.33,209015.71,True
20201W105,17.0,6.0,4,vs83940,ty68014,W105,2020,False,,6.0,445237.33,208993.71,True
20201W12,17.0,8.0,8,,,W12,2020,,,,446105.33,209157.71,True
20201W18,18.0,8.0,7,,tw41822,W18,2020,,,,446247.33,209436.71,True
20201W19,20.0,9.0,0,,,W19,2020,,,,446231.33,209497.71,True
20201W21,20.0,9.0,4,tw41699,ty68010,W21,2020,False,,5.0,446206.33,209539.71,True
20201W22,19.0,7.0,7,ty68048,ty68011,W22,2020,False,,5.0,446164.33,209458.71,True
20201W24,16.0,9.0,9,tw41818,tw41884,W24,2020,False,,5.0,446185.33,209410.71,True
20201W29,15.0,8.0,7,tw41881,vz30524,W29,2020,False,,5.0,446124.33,209221.71,True
20201W33,17.0,6.0,0,,,W33,2020,,,,446102.33,209511.71,True
20201W36,17.0,12.0,0,,,W36,2020,,,,446064.33,209374.71,True
20201W37,18.0,5.0,4,tl38650,,W37,2020,True,EX20,5.0,446046.33,209353.71,True
20201W5,19.0,10.0,8,ty68185,ty68186,W5,2020,False,,5.0,446195.33,209187.71,True
20201W50,12.0,10.0,8,,vz30466,W50,2020,,,,445924.33,209323.71,True
20201W51,15.0,11.0,0,ty68004,tw41830,W51,2020,False,,5.0,445892.33,209413.75,True
20201W52,20.0,2.0,0,,,W52,2020,,,,445820.33,209385.71,True
20201W54,20.0,8.0,7,,vz33954,W54,2020,,,,446073.33,209473.71,True
20201W55,24.0,2.0,0,,,W55,2020,,,,446057.33,209470.71,False
20201W56,12.0,10.0,10,tw41833,vn56874,W56,2020,False,,5.0,445993.33,209438.71,True
20201W6,,,0,,,W6,2020,,,,446183.33,209156.71,True
20201W62,13.0,10.0,9,vz31814,tr43214,W62,2020,False,,6.0,445726.33,209377.71,True
20201W63,17.0,8.0,6,,tv44366,W63,2020,,,,445695.33,209336.71,True
20201W64,17.0,8.0,0,,tw41530,W64,2020,,,,445682.33,209306.71,True
20201W64A,15.0,9.0,0,,,W64A,2020,,,,445637.33,209270.71,True
20201W68,15.0,10.0,9,tw41831,tw41550,W68,2020,False,,5.0,445861.33,209327.71,True
20201W71,15.0,6.0,6,vz30247,vz30317,W71,2020,True,W25,6.0,445813.33,209236.71,True
20201W74,19.0,9.0,8,,ts47681,W74,2020,,,,445800.33,209211.71,True
20201W75,16.0,10.0,10,tr42590,ty68013,W75,2020,False,,5.0,445667.33,209164.71,True
20201W77,16.0,7.0,7,ty68001,ty68002,W77,2020,False,,5.0,445609.33,209153.71,True
20201W79,15.0,6.0,4,tl38562,tx42457,W79,2020,True,EX30,5.0,445684.33,209242.71,True
20201W81,19.0,8.0,8,ty68012,vn85374,W81,2020,False,,6.0,445606.33,209304.71,True
20201W87,18.0,8.0,8,tl38623,tl38985,W87,2020,True,W103,5.0,445546.33,209292.71,True
20201W92,21.0,6.0,5,tl38696,tw41889,W92,2020,False,,6.0,445495.33,209195.71,True
20201W95,13.0,9.0,9,vz29248,te80782,W95,2020,True,W60,6.0,445509.33,209118.71,True
20201W99A,23.0,7.0,5,vz31898,ty68195,W99A,2020,True,W58,5.0,445385.33,209013.71,True
20202EX5,48.0,6.0,0,,,EX5,2020,,,,445483.33,208370.71,False
