pnum,april_lay_date,clutch_size,num_fledglings,father,mother,box,year,wytham_born,natal_box,age,x,y,recorded,repertoire_size,self_similarity,ac_sim,shared,total_rep,mean_spat_dist,mean_ac_sim,dispersal_distance,prop_immigrants,mean_dispersal
20201CP28,23.0,9.0,8,tl38601,ty69558,CP28,2020,True,EX22,5.0,446614.33,209067.71,True,,,,,,,,592.7,0.7,950.9
20201CP3,22.0,7.0,0,,,CP3,2020,,,,446370.33,209284.71,True,2.0,0.35775,0.3350515690883191,4.0,54.0,223.03699999999998,0.3614181083333333,,,
20201CP33,19.0,9.0,5,,ty69513,CP33,2020,,,,446525.33,208860.71,True,,,,,,,,,,
20201CP34,17.0,9.0,9,,ty69501,CP34,2020,,,,446663.33,208847.71,True,,,,,,,,,,
20201CP35,28.0,6.0,6,,ty69574,CP35,2020,,,,446634.33,208808.71,True,,,,,,,,,,
20201CP43,18.0,7.0,0,,,CP43,2020,,,,446948.72,208462.76,True,,,,,,,,,,
20201CP6,25.0,10.0,6,vz31926,vz30566,CP6,2020,True,EX68,5.0,446499.33,209263.71,True,,,,,,,,1136.2,0.6,660.0
20201CP7,21.0,2.0,0,,,CP7,2020,,,,446544.33,209240.71,True,4.0,0.36876166666666665,0.3489613732193732,8.0,69.0,276.40299999999996,0.34217522499999997,,,
20201CP9,19.0,7.0,7,vz29416,tx42383,CP9,2020,True,W80,6.0,446486.33,209112.71,True,3.0,0.35749666666666663,0.35839718233618234,4.0,61.0,235.56599999999997,0.38832151666666664,796.4,0.7,883.0
20201EX120,15.0,9.0,9,ty68003,vz29516,EX120,2020,False,,6.0,445349.71,208927.24,True,1.0,,0.3305071923076923,0.0,32.0,197.731,0.3021083333333333,,0.6,489.0
20201EX14,16.0,8.0,7,tw41893,vz30878,EX14,2020,False,,5.0,445451.33,208853.71,True,3.0,0.397,0.3527418190883191,2.0,50.0,255.32,0.3521562777777778,,0.6,489.0
20201EX18,20.0,6.0,6,,tw41900,EX18,2020,,,,445710.33,209023.71,True,,,,,,,,,,
20201EX21,15.0,9.0,7,,,EX21,2020,,,,445992.33,209122.71,True,3.0,0.2943766666666667,0.35768992687559353,2.0,62.0,227.35100000000003,0.35074513888888886,,,
20201EX25,17.0,8.0,6,tw41850,vz31314,EX25,2020,False,,5.0,446123.33,208965.71,True,1.0,,0.36001760256410253,0.0,41.0,276.636,0.3242930666666667,,0.5,571.1
20201EX26,17.0,10.0,10,tw41874,vz29229,EX26,2020,False,,5.0,446155.33,208949.71,True,5.0,0.515707,0.41472219686609685,6.0,75.0,274.104,0.40619537333333333,,0.5,571.1
20201EX29,22.0,8.0,4,,y839893,EX29,2020,,,,446108.33,208834.71,True,,,,,,,,,,
20201EX3,17.0,8.0,7,vz31212,vz29502,EX3,2020,True,C63,5.0,445602.33,208356.71,True,1.0,,0.36006928632478635,2.0,32.0,511.218,0.3545789166666667,1559.4,0.6,369.9
20201EX34,18.0,10.0,9,ty69033,vz29522,EX34,2020,False,,6.0,445711.33,208853.71,True,,,,,,,,,0.5,488.8
20201EX35,17.0,8.0,8,,tw77003,EX35,2020,,,,445687.33,208804.71,True,,,,,,,,,,
20201EX38A,18.0,8.0,8,,ty69002,EX38A,2020,,,,445669.33,208666.71,True,,,,,,,,,,
20201EX41E,21.0,8.0,0,,,EX41E,2020,,,,445777.33,208408.71,False,,,,,,,,,,
20201EX43,22.0,8.0,8,,ty69075,EX43,2020,,,,445912.33,208625.71,True,,,,,,,,,,
20201EX43D,25.0,7.0,0,,,EX43D,2020,,,,446085.33,208625.71,True,,,,,,,,,,
20201EX48A,22.0,6.0,6,tp27216,vz30879,EX48A,2020,True,EX41D,6.0,446179.33,208737.71,True,,,,,,,,441.8,0.7,751.5
20201EX49A,25.0,6.0,5,,tw41549,EX49A,2020,,,,446155.33,208632.71,True,,,,,,,,,,
20201EX5,15.0,7.0,0,,,EX5,2020,,,,445483.33,208370.71,True,,,,,,,,,,
20201EX51,18.0,8.0,8,tw41873,vs83950,EX51,2020,False,,6.0,446397.33,208674.71,True,,,,,,,,,0.5,657.8
20201EX55,20.0,5.0,0,,,EX55,2020,,,,446634.33,208663.71,False,,,,,,,,,,
20201EX56,25.0,7.0,7,vz33544,vz32694,EX56,2020,False,,6.0,446552.33,208643.71,True,,,,,,,,,0.5,657.8
